Coureur,Équipe,Prix min
PHILIPSEN Jasper,Alpecin - Deceuninck,50
VAN DER POEL Mathieu,Alpecin - Deceuninck,50
GROVES Kaden,Alpecin - Deceuninck,40
DEL GROSSO Tibor,Alpecin - Deceuninck,16
MEURISSE Xandro,Alpecin - Deceuninck,11
VERMEERSCH Gianni,Alpecin - Deceuninck,19
HERMANS Quinten,Alpecin - Deceuninck,17
DILLIER Silvan,Alpecin - Deceuninck,6
RIESEBEEK Oscar,Alpecin - Deceuninck,6
RICKAERT Jonas,Alpecin - Deceuninck,6
VAUQUELIN Kévin,Arkéa - B&B Hotels,19
DÉMARE Arnaud,Arkéa - B&B Hotels,17
RODRÍGUEZ Cristián,Arkéa - B&B Hotels,7
VENTURINI Clément,Arkéa - B&B Hotels,8
BIERMANS Jenthe,Arkéa - B&B Hotels,6
GARCÍA PIERNA Raúl,Arkéa - B&B Hotels,5
BUITRAGO Santiago,Bahrain - Victorious,23
MARTINEZ Lenny,Bahrain - Victorious,25
BILBAO Pello,Bahrain - Victorious,17
GRADEK Kamil,Bahrain - Victorious,8
TIBERI Antonio,Bahrain - Victorious,22
MOHORIČ Matej,Bahrain - Victorious,25
WRIGHT Fred,Bahrain - Victorious,20
BAUHAUS Phil,Bahrain - Victorious,14
HAIG Jack,Bahrain - Victorious,13
STANNARD Robert,Bahrain - Victorious,10
CARUSO Damiano,Bahrain - Victorious,13
ARANBURU Alex,Cofidis,20
FRETIN Milan,Cofidis,11
COQUARD Bryan,Cofidis,13
IZAGIRRE Ion,Cofidis,14
RENARD Alexis,Cofidis,7
OLDANI Stefano,Cofidis,8
THOMAS Benjamin,Cofidis,11
CARR Simon,Cofidis,7
ANIOŁKOWSKI Stanisław,Cofidis,6
BUCHMANN Emanuel,Cofidis,8
TEUNS Dylan,Cofidis,11
GALL Felix,Decathlon AG2R La Mondiale Team,40
BERTHET Clément,Decathlon AG2R La Mondiale Team,20
BISSEGGER Stefan,Decathlon AG2R La Mondiale Team,18
TRONCHON Bastien,Decathlon AG2R La Mondiale Team,17
PRODHOMME Nicolas,Decathlon AG2R La Mondiale Team,20
PARET-PEINTRE Aurélien,Decathlon AG2R La Mondiale Team,20
GODON Dorian,Decathlon AG2R La Mondiale Team,20
LAPEIRA Paul,Decathlon AG2R La Mondiale Team,20
GAUTHERAT Pierre,Decathlon AG2R La Mondiale Team,20
BENNETT Sam,Decathlon AG2R La Mondiale Team,20
DEWULF Stan,Decathlon AG2R La Mondiale Team,11
ARMIRAIL Bruno,Decathlon AG2R La Mondiale Team,10
SEIXAS Paul,Decathlon AG2R La Mondiale Team,9
LAFAY Victor,Decathlon AG2R La Mondiale Team,8
NAESEN Oliver,Decathlon AG2R La Mondiale Team,7
SCOTSON Callum,Decathlon AG2R La Mondiale Team,7
DE BONDT Dries,Decathlon AG2R La Mondiale Team,7
VENDRAME Andrea,Decathlon AG2R La Mondiale Team,6
CARAPAZ Richard,EF Education - EasyPost,55
POWLESS Neilson,EF Education - EasyPost,33
HEALY Ben,EF Education - EasyPost,34
BAUDIN Alex,EF Education - EasyPost,18
VAN DEN BERG Marijn,EF Education - EasyPost,17
ALBANESE Vincenzo,EF Education - EasyPost,16
MIHKELS Madis,EF Education - EasyPost,6
ASGREEN Kasper,EF Education - EasyPost,10
CEPEDA Jefferson Alexander,EF Education - EasyPost,9
RYAN Archie,EF Education - EasyPost,6
SWEENY Harry,EF Education - EasyPost,7
HONORÉ Mikkel Frølich,EF Education - EasyPost,7
GRÉGOIRE Romain,Groupama - FDJ,28
KÜNG Stefan,Groupama - FDJ,22
MARTIN Guillaume,Groupama - FDJ,17
GAUDU David,Groupama - FDJ,22
MADOUAS Valentin,Groupama - FDJ,21
CAVAGNA Rémi,Groupama - FDJ,16
ASKEY Lewis,Groupama - FDJ,14
GRUEL Thibaud,Groupama - FDJ,6
PENHOËT Paul,Groupama - FDJ,6
PACHER Quentin,Groupama - FDJ,6
MOLARD Rudy,Groupama - FDJ,6
ROCHAS Rémy,Groupama - FDJ,6
GANNA Filippo,INEOS Grenadiers,30
SHEFFIELD Magnus,INEOS Grenadiers,28
RODRÍGUEZ Carlos,INEOS Grenadiers,50
BERNAL Egan,INEOS Grenadiers,45
TARLING Joshua,INEOS Grenadiers,30
ARENSMAN Thymen,INEOS Grenadiers,29
THOMAS Geraint,INEOS Grenadiers,19
WATSON Samuel,INEOS Grenadiers,7
