Rnk,Rider,Team,UCI,Pnt,,Time
1,KOOIJ Olav,Team Visma | Lease a Bike,180,80,10″,10″
2,VAN UDEN Casper,Team Picnic PostNL,130,50,6″,6″
3,TURNER Ben,INEOS Grenadiers,95,35,4″,4″
4,PEDERSEN Mads,Lidl - Trek,80,25,,",,0:00"
5,GROVES Kaden,Alpecin - Deceuninck,60,18,,",,0:00"
6,FRETIN Milan,Cofidis,45,15,,",,0:00"
7,KANTER Max,XDS Astana Team,40,12,,",,0:00"
8,MAGNIER Paul,Soudal Quick-Step,35,10,,",,0:00"
9,GOVEKAR Matevž,Bahrain - Victorious,30,8,,",,0:00"
10,MOSCHETTI Matteo,Q36.5 Pro Cycling Team,25,6,,",,0:00"
11,BENNETT Sam,Decathlon AG2R La Mondiale Team,20,5,,",,0:00"
12,THIJSSEN Gerben,Intermarché - Wanty,15,4,,",,0:00"
13,ZANONCELLO Enrico,VF Group - Bardiani CSF - Faizanè,10,3,,",,0:00"
14,MOZZATO Luca,Arkéa - B&B Hotels,5,2,,",,0:00"
15,PLUIMERS Rick,Tudor Pro Cycling Team,2,1,,",,0:00"
16,MILESI Lorenzo,Movistar Team,,,,",,0:00"
17,STRONG Corbin,Israel - Premier Tech,,,,",,0:00"
18,PLOWRIGHT Jensen,Alpecin - Deceuninck,,,,",,0:00"
19,VAN AERT Wout,Team Visma | Lease a Bike,,,,",,0:00"
20,GUDMESTAD Tord,Decathlon AG2R La Mondiale Team,,,,",,0:00"
21,LONARDI Giovanni,Team Polti VisitMalta,,,,",,0:00"
22,DAVY Clément,Groupama - FDJ,,,,",,0:00"
23,AULAR Orluis,Movistar Team,,,,",,0:00"
24,PALENI Enzo,Groupama - FDJ,,,,",,0:00"
25,DE BONDT Dries,Decathlon AG2R La Mondiale Team,,,,",,0:00"
26,MÄRKL Niklas,Team Picnic PostNL,,,,",,0:00"
27,HONORÉ Mikkel Frølich,EF Education - EasyPost,,,,",,0:00"
28,MAGLI Filippo,VF Group - Bardiani CSF - Faizanè,,,,",,0:00"
29,CARAPAZ Richard,EF Education - EasyPost,,,,",,0:00"
30,GEE Derek,Israel - Premier Tech,,,,",,0:00"
31,LAMPERTI Luke,Soudal Quick-Step,,,,",,0:00"
32,MAESTRI Mirco,Team Polti VisitMalta,,,,",,0:00"
33,ZIJLAARD Maikel,Tudor Pro Cycling Team,,,,",,0:00"
34,BUSATTO Francesco,Intermarché - Wanty,,,,",,0:00"
35,VACEK Mathias,Lidl - Trek,,,,",,0:00"
36,PLANCKAERT Edward,Alpecin - Deceuninck,,,,",,0:00"
37,TARLING Joshua,INEOS Grenadiers,,,,",,0:00"
38,FIORELLI Filippo,VF Group - Bardiani CSF - Faizanè,,,,",,0:00"
39,VADER Milan,Q36.5 Pro Cycling Team,,,,",,0:00"
40,GODON Dorian,Decathlon AG2R La Mondiale Team,,,,",,0:00"
41,LASTRA Jonathan,Cofidis,,,,",,0:00"
42,DOULL Owain,EF Education - EasyPost,,,,",,0:00"
43,CARUSO Damiano,Bahrain - Victorious,,,,",,0:00"
44,RUBIO Einer,Movistar Team,,,,",,0:00"
45,ULISSI Diego,XDS Astana Team,,,,",,0:00"
46,SCARONI Christian,XDS Astana Team,,,,",,0:00"
47,VAN HOECKE Gijs,Intermarché - Wanty,,,,",,0:00"
48,HEPBURN Michael,Team Jayco AlUla,,,,",,0:00"
49,HARPER Chris,Team Jayco AlUla,,,,",,0:00"
50,ZAMBANINI Edoardo,Bahrain - Victorious,,,,",,0:00"
51,SVESTAD-BÅRDSENG Embret,Arkéa - B&B Hotels,,,,",,0:00"
52,TIBERI Antonio,Bahrain - Victorious,,,,",,0:00"
53,MAAS Jan,Cofidis,,,,",,0:00"
54,PEREZ Anthony,Cofidis,,,,",,0:00"
55,DEBEAUMARCHÉ Nicolas,Cofidis,,,,",,0:00"
56,DEWULF Stan,Decathlon AG2R La Mondiale Team,,,,",,0:00"
57,ROCHAS Rémy,Groupama - FDJ,,,,",,0:00"
58,HOULE Hugo,Israel - Premier Tech,,,,",,0:00"
59,GENIETS Kevin,Groupama - FDJ,,,,",,0:00"
60,GAROFOLI Gianmarco,Soudal Quick-Step,,,,",,0:00"
61,AFFINI Edoardo,Team Visma | Lease a Bike,,,,",,0:00"
62,EPIS Giosuè,Arkéa - B&B Hotels,,,-20″,-20″
63,STORK Florian,Tudor Pro Cycling Team,,,,",,0:00"
64,WARBASSE Larry,Tudor Pro Cycling Team,,,,",,0:00"
65,ARENSMAN Thymen,INEOS Grenadiers,,,,",,0:00"
66,MEINTJES Louis,Intermarché - Wanty,,,,",,0:00"
67,BARONCINI Filippo,UAE Team Emirates - XRG,,,,",,0:00"
68,KIELICH Timo,Alpecin - Deceuninck,,,,",,0:00"
